File Name, Depth, Hegazy Vs, Andrus Vs,  Rob Vs, Mc15 Vs,  Mc18 Vs
CPT_6457, 0.08, 835.60,  187.21,  225.74, 37.33,  58.79
CPT_6457, 0.10, 469.90,  144.91,  168.14, 46.38,  91.95
CPT_6457, 0.12, 429.31,  155.56,  177.63, 52.43,  102.68
CPT_6457, 0.14, 203.56,  146.34,  137.97, 53.35,  96.20
CPT_6457, 0.16, 203.45,  150.07,  143.55, 57.35,  103.35
CPT_6457, 0.18, 297.98,  169.45,  175.38, 65.72,  121.29
CPT_6457, 0.20, 272.49,  173.37,  175.37, 70.43,  127.26
CPT_6457, 0.22, 159.99,  153.71,  143.76, 67.91,  116.26
CPT_6457, 0.24, 159.61,  154.16,  146.02, 69.58,  118.85
CPT_6457, 0.26, 226.42,  170.63,  171.66, 75.96,  134.02
CPT_6457, 0.28, 363.88,  189.81,  210.15, 80.13,  146.75
CPT_6457, 0.30, 398.95,  191.44,  219.00, 80.75,  149.82
CPT_6457, 0.32, 409.07,  191.79,  222.61, 81.64,  152.23
CPT_6457, 0.34, 825.17,  218.01,  297.35, 86.94,  169.89
CPT_6457, 0.36, 782.56,  217.13,  293.31, 88.08,  171.60
CPT_6457, 0.38, 544.13,  203.00,  254.58, 86.54,  165.30
CPT_6457, 0.40, 579.29,  198.73,  258.61, 84.92,  165.58
CPT_6457, 0.42, 550.73,  198.15,  255.21, 85.99,  166.96
CPT_6457, 0.44, 568.89,  197.23,  258.37, 86.12,  168.66
CPT_6457, 0.46, 536.18,  194.41,  252.85, 86.16,  168.64
CPT_6457, 0.48, 375.79,  181.00,  219.86, 83.78,  160.36
CPT_6457, 0.50, 483.16,  177.96,  236.75, 80.87,  162.49
CPT_6457, 0.52, 945.23,  176.76,  296.59, 78.49,  173.01
CPT_6457, 0.54, 1635.10,  171.69,  356.58, 76.80,  182.32
CPT_6457, 0.56, 1783.38,  162.66,  361.42, 74.41,  182.14
CPT_6457, 0.58, 2195.87,  154.08,  381.93, 72.34,  185.04
CPT_6457, 0.60, 2108.71,  153.93,  376.68, 72.91,  186.18
CPT_6457, 0.62, 2001.57,  148.99,  363.11, 71.92,  186.14
CPT_6457, 0.64, 1946.93,  149.20,  359.85, 72.58,  187.64
CPT_6457, 0.66, 1528.86,  143.01,  328.08, 70.55,  179.82
CPT_6457, 0.68, 1134.85,  138.31,  291.75, 68.95,  172.52
CPT_6457, 0.70, 1017.32,  134.80,  278.23, 67.98,  169.91
CPT_6457, 0.72, 845.88,  131.50,  258.53, 67.00,  165.66
CPT_6457, 0.74, 812.89,  132.57,  255.82, 67.87,  166.85
CPT_6457, 0.76, 654.36,  136.97,  240.40, 69.94,  165.76
CPT_6457, 0.78, 654.57,  137.46,  240.88, 70.59,  167.38
CPT_6457, 0.80, 508.00,  142.06,  224.16, 72.92,  165.44
CPT_6457, 0.82, 467.49,  145.27,  220.25, 74.84,  166.64
CPT_6457, 0.84, 402.65,  144.16,  209.26, 74.87,  163.81
CPT_6457, 0.86, 360.24,  141.78,  200.59, 74.23,  160.92
CPT_6457, 0.88, 305.32,  139.00,  188.82, 73.36,  156.23
CPT_6457, 0.90, 301.09,  139.30,  188.32, 73.92,  157.13
CPT_6457, 0.92, 244.32,  134.12,  173.58, 71.54,  148.84
CPT_6457, 0.94, 218.18,  131.50,  166.27, 70.28,  144.16
CPT_6457, 0.96, 208.80,  130.53,  163.61, 69.96,  142.72
CPT_6457, 0.98, 216.16,  131.39,  165.96, 70.94,  145.67
CPT_6457, 1.00, 216.62,  131.21,  165.96, 71.19,  146.40
CPT_6457, 1.02, 225.64,  131.87,  168.41, 72.01,  149.14
CPT_6457, 1.04, 241.03,  133.72,  172.97, 73.51,  153.47
CPT_6457, 1.06, 250.12,  134.24,  175.25, 74.18,  155.80
CPT_6457, 1.08, 252.22,  133.74,  175.40, 74.25,  156.51
CPT_6457, 1.10, 274.21,  134.06,  180.16, 74.83,  160.11
