File Name, Hegazy Depth, Hegazy Vs, Andrus Depth, Andrus Vs, Rob Depth, Rob Vs, Mc15 Depth, Mc15 Vs, Mc18 Depth, Mc18 Vs
CPT_6458, 10.66, 1303.85, 10.66, 214.37, 10.66, 251.80, 10.66, 206.44, 10.66, 371.38
CPT_6458, 10.68, 1057.50, 10.68, 208.26, 10.68, 229.74, 10.68, 203.41, 10.68, 362.77
CPT_6458, 10.70, 659.82, 10.70, 206.51, 10.70, 203.92, 10.70, 206.38, 10.70, 358.92
CPT_6458, 10.72, 575.85, 10.72, 205.36, 10.72, 201.36, 10.72, 206.32, 10.72, 357.38
CPT_6458, 10.74, 545.52, 10.74, 205.37, 10.74, 203.13, 10.74, 206.43, 10.74, 357.55
CPT_6458, 10.76, 508.06, 10.76, 205.51, 10.76, 202.36, 10.76, 207.28, 10.76, 357.78
CPT_6458, 10.78, 488.15, 10.78, 206.01, 10.78, 203.27, 10.78, 208.08, 10.78, 358.58
CPT_6458, 10.80, 474.42, 10.80, 206.50, 10.80, 204.48, 10.80, 208.73, 10.80, 359.37
CPT_6458, 10.82, 469.74, 10.82, 207.38, 10.82, 206.79, 10.82, 209.47, 10.82, 360.71
CPT_6458, 10.84, 458.93, 10.84, 207.86, 10.84, 207.68, 10.84, 210.16, 10.84, 361.48
CPT_6458, 10.86, 452.62, 10.86, 208.30, 10.86, 209.00, 10.86, 210.63, 10.86, 362.23
CPT_6458, 10.88, 448.29, 10.88, 209.19, 10.88, 210.61, 10.88, 211.53, 10.88, 363.54
CPT_6458, 10.90, 433.52, 10.90, 210.14, 10.90, 210.36, 10.90, 213.23, 10.90, 364.90
CPT_6458, 10.92, 428.64, 10.92, 211.01, 10.92, 211.56, 10.92, 214.27, 10.92, 366.19
CPT_6458, 10.94, 420.93, 10.94, 211.88, 10.94, 212.18, 10.94, 215.56, 10.94, 367.47
CPT_6458, 10.96, 409.34, 10.96, 211.92, 10.96, 211.68, 10.96, 216.23, 10.96, 367.69
CPT_6458, 10.98, 403.03, 10.98, 211.94, 10.98, 211.96, 10.98, 216.52, 10.98, 367.88
CPT_6458, 11.00, 403.91, 11.00, 212.77, 11.00, 213.74, 11.00, 217.21, 11.00, 369.09
CPT_6458, 11.02, 402.21, 11.02, 213.59, 11.02, 215.01, 11.02, 218.14, 11.02, 370.31
CPT_6458, 11.04, 384.93, 11.04, 212.41, 11.04, 212.63, 11.04, 218.03, 11.04, 368.99
CPT_6458, 11.06, 368.13, 11.06, 210.77, 11.06, 209.99, 11.06, 217.42, 11.06, 367.06
CPT_6458, 11.08, 362.18, 11.08, 210.36, 11.08, 209.74, 11.08, 217.34, 11.08, 366.69
CPT_6458, 11.10, 353.63, 11.10, 209.52, 11.10, 208.76, 11.10, 217.01, 11.10, 365.76
CPT_6458, 11.12, 348.16, 11.12, 209.10, 11.12, 208.47, 11.12, 216.92, 11.12, 365.37
CPT_6458, 11.14, 352.94, 11.14, 209.97, 11.14, 210.61, 11.14, 217.36, 11.14, 366.64
CPT_6458, 11.16, 360.95, 11.16, 211.25, 11.16, 213.49, 11.16, 217.98, 11.16, 368.42
CPT_6458, 11.18, 372.02, 11.18, 212.49, 11.18, 216.86, 11.18, 218.24, 11.18, 370.12
CPT_6458, 11.20, 379.92, 11.20, 213.29, 11.20, 219.40, 11.20, 218.31, 11.20, 371.28
CPT_6458, 11.22, 389.40, 11.22, 214.05, 11.22, 222.17, 11.22, 218.20, 11.22, 372.40
CPT_6458, 11.24, 403.13, 11.24, 214.74, 11.24, 225.57, 11.24, 217.66, 11.24, 373.47
CPT_6458, 11.26, 409.31, 11.26, 215.05, 11.26, 227.47, 11.26, 217.39, 11.26, 374.07
CPT_6458, 11.28, 417.21, 11.28, 215.33, 11.28, 229.60, 11.28, 216.94, 11.28, 374.66
CPT_6458, 11.30, 424.47, 11.30, 215.16, 11.30, 231.37, 11.30, 216.07, 11.30, 374.74
CPT_6458, 11.32, 438.41, 11.32, 215.24, 11.32, 234.32, 11.32, 215.05, 11.32, 375.27
CPT_6458, 11.34, 449.87, 11.34, 214.44, 11.34, 236.38, 11.34, 213.30, 11.34, 374.81
CPT_6458, 11.36, 468.96, 11.36, 213.79, 11.36, 239.68, 11.36, 211.37, 11.36, 374.79
CPT_6458, 11.38, 526.28, 11.38, 215.75, 11.38, 250.14, 11.38, 210.61, 11.38, 378.92
CPT_6458, 11.40, 578.43, 11.40, 209.62, 11.40, 255.24, 11.40, 202.69, 11.40, 374.76
CPT_6458, 11.42, 620.54, 11.42, 206.94, 11.42, 260.32, 11.42, 199.08, 11.42, 374.11
CPT_6458, 11.44, 695.83, 11.44, 204.09, 11.44, 269.45, 11.44, 195.11, 11.44, 374.80
CPT_6458, 11.46, 806.50, 11.46, 202.09, 11.46, 282.66, 11.46, 192.02, 11.46, 377.76
CPT_6458, 11.48, 820.05, 11.48, 204.60, 11.48, 286.04, 11.48, 193.98, 11.48, 381.06
CPT_6458, 11.50, 774.07, 11.50, 207.89, 11.50, 282.65, 11.50, 197.28, 11.50, 382.77
CPT_6458, 11.52, 678.66, 11.52, 211.77, 11.52, 272.93, 11.52, 202.15, 11.52, 383.00
CPT_6458, 11.54, 574.44, 11.54, 212.41, 11.54, 259.23, 11.54, 205.19, 11.54, 379.68
CPT_6458, 11.56, 471.41, 11.56, 213.24, 11.56, 244.48, 11.56, 210.00, 11.56, 376.70
CPT_6458, 11.58, 407.44, 11.58, 212.33, 11.58, 233.98, 11.58, 212.93, 11.58, 373.76
CPT_6458, 11.60, 370.32, 11.60, 210.58, 11.60, 227.11, 11.60, 213.97, 11.60, 370.96
CPT_6458, 11.62, 333.91, 11.62, 208.03, 11.62, 219.69, 11.62, 214.66, 11.62, 367.37
CPT_6458, 11.64, 320.44, 11.64, 206.33, 11.64, 216.68, 11.64, 214.05, 11.64, 365.16
CPT_6458, 11.66, 303.81, 11.66, 204.11, 11.66, 212.73, 11.66, 213.28, 11.66, 362.21
CPT_6458, 11.68, 299.25, 11.68, 204.13, 11.68, 212.29, 11.68, 213.99, 11.68, 362.42
CPT_6458, 11.70, 297.05, 11.70, 204.61, 11.70, 212.56, 11.70, 215.01, 11.70, 363.28
CPT_6458, 11.72, 296.67, 11.72, 205.53, 11.72, 213.44, 11.72, 216.41, 11.72, 364.77
CPT_6458, 11.74, 296.32, 11.74, 206.42, 11.74, 214.32, 11.74, 217.79, 11.74, 366.23
CPT_6458, 11.76, 293.61, 11.76, 207.27, 11.76, 214.78, 11.76, 219.57, 11.76, 367.70
CPT_6458, 11.78, 296.80, 11.78, 208.57, 11.78, 216.55, 11.78, 220.94, 11.78, 369.68
CPT_6458, 11.80, 304.44, 11.80, 210.72, 11.80, 219.62, 11.80, 222.74, 11.80, 372.71
CPT_6458, 11.82, 306.05, 11.82, 211.93, 11.82, 221.07, 11.82, 224.28, 11.82, 374.57
CPT_6458, 11.84, 306.99, 11.84, 213.11, 11.84, 222.40, 11.84, 225.91, 11.84, 376.39
CPT_6458, 11.86, 307.16, 11.86, 213.87, 11.86, 223.32, 11.86, 227.06, 11.86, 377.64
CPT_6458, 11.88, 307.03, 11.88, 214.61, 11.88, 224.18, 11.88, 228.25, 11.88, 378.88
CPT_6458, 11.90, 304.07, 11.90, 213.84, 11.90, 223.48, 11.90, 227.60, 11.90, 377.99
CPT_6458, 11.92, 303.29, 11.92, 213.13, 11.92, 223.14, 11.92, 226.54, 11.92, 377.05
CPT_6458, 11.94, 294.97, 11.94, 211.09, 11.94, 220.65, 11.94, 225.01, 11.94, 374.49
CPT_6458, 11.96, 286.51, 11.96, 208.98, 11.96, 218.06, 11.96, 223.42, 11.96, 371.79
CPT_6458, 11.98, 287.62, 11.98, 208.64, 11.98, 218.24, 11.98, 222.53, 11.98, 371.30
CPT_6458, 12.00, 197.71, 12.00, 186.94, 12.00, 187.93, 12.00, 209.94, 12.00, 339.94
CPT_6458, 12.02, 247.79, 12.02, 195.82, 12.02, 202.72, 12.02, 210.31, 12.02, 352.64
CPT_6458, 12.04, 234.67, 12.04, 195.56, 12.04, 200.74, 12.04, 213.50, 12.04, 353.05
CPT_6458, 12.06, 235.99, 12.06, 196.09, 12.06, 201.60, 12.06, 214.07, 12.06, 354.02
CPT_6458, 12.08, 243.69, 12.08, 197.76, 12.08, 204.32, 12.08, 214.79, 12.08, 356.52
CPT_6458, 12.10, 244.28, 12.10, 197.79, 12.10, 204.66, 12.10, 214.65, 12.10, 356.65
CPT_6458, 12.12, 243.15, 12.12, 197.31, 12.12, 204.33, 12.12, 214.06, 12.12, 355.98
CPT_6458, 12.14, 242.29, 12.14, 196.34, 12.14, 203.62, 12.14, 212.50, 12.14, 354.45
CPT_6458, 12.16, 241.45, 12.16, 195.84, 12.16, 203.30, 12.16, 211.80, 12.16, 353.74
CPT_6458, 12.18, 245.23, 12.18, 196.41, 12.18, 204.54, 12.18, 211.76, 12.18, 354.67
CPT_6458, 12.20, 248.85, 12.20, 196.96, 12.20, 205.74, 12.20, 211.77, 12.20, 355.58
CPT_6458, 12.22, 252.43, 12.22, 197.51, 12.22, 206.93, 12.22, 211.78, 12.22, 356.49
CPT_6458, 12.24, 254.22, 12.24, 197.51, 12.24, 207.41, 12.24, 211.34, 12.24, 356.59
CPT_6458, 12.26, 258.64, 12.26, 198.02, 12.26, 208.69, 12.26, 211.15, 12.26, 357.47
CPT_6458, 12.28, 269.24, 12.28, 198.95, 12.28, 211.30, 12.28, 210.41, 12.28, 359.02
CPT_6458, 12.30, 277.70, 12.30, 199.84, 12.30, 213.54, 12.30, 210.20, 12.30, 360.57
CPT_6458, 12.32, 285.58, 12.32, 200.70, 12.32, 215.66, 12.32, 210.12, 12.32, 362.10
CPT_6458, 12.34, 324.95, 12.34, 206.16, 12.34, 226.29, 12.34, 212.13, 12.34, 370.71
CPT_6458, 12.36, 346.78, 12.36, 208.73, 12.36, 231.86, 12.36, 212.96, 12.36, 374.91
CPT_6458, 12.38, 352.77, 12.38, 209.42, 12.38, 233.49, 12.38, 213.18, 12.38, 376.16
CPT_6458, 12.40, 344.01, 12.40, 208.82, 12.40, 231.82, 12.40, 213.33, 12.40, 375.23
CPT_6458, 12.42, 322.45, 12.42, 207.25, 12.42, 227.37, 12.42, 213.83, 12.42, 372.60
CPT_6458, 12.44, 308.74, 12.44, 205.19, 12.44, 223.81, 12.44, 212.87, 12.44, 369.69
CPT_6458, 12.46, 297.19, 12.46, 202.94, 12.46, 220.44, 12.46, 211.40, 12.46, 366.55
CPT_6458, 12.48, 285.37, 12.48, 200.61, 12.48, 216.93, 12.48, 209.88, 12.48, 363.20
CPT_6458, 12.50, 274.73, 12.50, 199.29, 12.50, 214.35, 12.50, 209.71, 12.50, 361.21
CPT_6458, 12.52, 267.27, 12.52, 199.53, 12.52, 213.51, 12.52, 211.46, 12.52, 361.50
CPT_6458, 12.54, 262.01, 12.54, 200.70, 12.54, 213.84, 12.54, 214.48, 12.54, 363.32
CPT_6458, 12.56, 259.95, 12.56, 200.73, 12.56, 213.73, 12.56, 215.00, 12.56, 363.51
